label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	0	3	0	0	3	0	0	0	0	18707
x1	1	0	0	0	2	0	3	4	0	3	4	0	1	0	19454
x1	1	0	0	0	3	0	4	5	0	4	5	0	0	1	19428
x1	2	0	0	1	1	0	5	0	0	5	0	0	0	0	18528
x1	2	0	0	1	2	0	5	2	0	5	2	0	1	0	19353
x1	2	0	0	1	3	0	2	6	0	2	6	0	0	1	19473
x2	0	1	0	0	1	4	0	1	4	0	1	0	0	0	925
x2	0	1	0	0	2	0	0	4	0	0	4	0	1	0	4249
x2	0	1	0	0	3	6	0	2	6	0	2	0	0	1	2018
x2	0	2	0	1	1	2	0	4	2	0	4	0	0	0	1330
x2	0	2	0	1	2	0	0	2	0	0	2	0	1	0	3477
x2	0	2	0	1	3	3	0	1	3	0	1	0	0	1	4551
x3	0	0	1	0	1	3	0	0	3	0	0	0	0	0	4907
x3	0	0	1	0	2	2	1	0	2	1	0	0	1	0	4629
x3	0	0	1	0	3	0	1	0	0	1	0	0	0	1	4919
x3	0	0	2	1	1	5	0	0	5	0	0	0	0	0	4470
x3	0	0	2	1	2	1	4	0	1	4	0	0	1	0	4519
x3	0	0	2	1	3	0	4	0	0	4	0	0	0	1	4614
x1+x2	1	1	0	0	1	1	6	5	1	6	5	0	0	0	3807
x1+x2	1	1	0	0	2	4	3	6	4	3	6	0	1	0	2814
x1+x2	1	1	0	0	3	2	5	5	2	5	5	0	0	1	1620
x1+x2	2	2	0	1	1	4	3	6	4	3	6	0	0	0	2600
x1+x2	2	2	0	1	2	2	5	3	2	5	3	0	1	0	3923
x1+x2	2	2	0	1	3	1	6	6	1	6	6	0	0	1	2808
x1+x3	1	0	1	0	1	3	5	4	3	5	4	0	0	0	41637
x1+x3	1	0	1	0	2	5	5	2	5	5	2	0	1	0	31695
x1+x3	1	0	1	0	3	2	1	5	2	1	5	0	0	1	33868
x1+x3	2	0	2	1	1	5	6	2	5	6	2	0	0	0	32791
x1+x3	2	0	2	1	2	6	6	1	6	6	1	0	1	0	37014
x1+x3	2	0	2	1	3	1	4	6	1	4	6	0	0	1	37406
x2+x3	0	1	1	0	1	1	6	1	1	6	1	0	0	0	16714
x2+x3	0	1	1	0	2	3	4	3	3	4	3	0	1	0	18244
x2+x3	0	1	1	0	3	5	6	1	5	6	1	0	0	1	20240
x2+x3	0	2	2	1	1	4	3	4	4	3	4	0	0	0	17566
x2+x3	0	2	2	1	2	5	2	5	5	2	5	0	1	0	17172
x2+x3	0	2	2	1	3	6	3	4	6	3	4	0	0	1	18948
