# Part W7: the fields decided by a word count after a change of variables, one line per field.
# Columns: discriminant, prime p, p-class rank, coefficient field q of the change of variables, certificate file.
# The certificate records the change of variables and the high terms of the completed basis; see records/p3/flag-certificates/FORMAT.md.
discriminant	p	rank	q	certificate
-382496039	3	3	3	records/p3/flag-certificates/382496039.json
-382597059	3	3	3	records/p3/flag-certificates/382597059.json
-382643439	3	3	3	records/p3/flag-certificates/382643439.json
-382727123	3	3	3	records/p3/flag-certificates/382727123.json
-382737992	3	3	3	records/p3/flag-certificates/382737992.json
-382752303	3	3	3	records/p3/flag-certificates/382752303.json
-382859732	3	3	3	records/p3/flag-certificates/382859732.json
-382945979	3	3	3	records/p3/flag-certificates/382945979.json
-383053603	3	3	3	records/p3/flag-certificates/383053603.json
-383077608	3	3	3	records/p3/flag-certificates/383077608.json
-383381124	3	3	3	records/p3/flag-certificates/383381124.json
-383449207	3	3	3	records/p3/flag-certificates/383449207.json
-383520068	3	3	9	records/p3/flag-certificates/383520068.json
-383573363	3	3	3	records/p3/flag-certificates/383573363.json
-383773251	3	3	3	records/p3/flag-certificates/383773251.json
-383787003	3	3	3	records/p3/flag-certificates/383787003.json
-383820431	3	3	3	records/p3/flag-certificates/383820431.json
-383887128	3	3	3	records/p3/flag-certificates/383887128.json
-384330547	3	3	3	records/p3/flag-certificates/384330547.json
-384364603	3	3	3	records/p3/flag-certificates/384364603.json
-384409139	3	3	3	records/p3/flag-certificates/384409139.json
-384613816	3	3	3	records/p3/flag-certificates/384613816.json
-384636056	3	3	3	records/p3/flag-certificates/384636056.json
-384727928	3	3	3	records/p3/flag-certificates/384727928.json
-384763611	3	3	3	records/p3/flag-certificates/384763611.json
-384782979	3	3	3	records/p3/flag-certificates/384782979.json
-384806863	3	3	9	records/p3/flag-certificates/384806863.json
-385006919	3	3	9	records/p3/flag-certificates/385006919.json
-385057823	3	3	9	records/p3/flag-certificates/385057823.json
-385060180	3	3	3	records/p3/flag-certificates/385060180.json
-385079608	3	3	3	records/p3/flag-certificates/385079608.json
-385116815	3	3	3	records/p3/flag-certificates/385116815.json
-385144712	3	3	3	records/p3/flag-certificates/385144712.json
-385225591	3	3	3	records/p3/flag-certificates/385225591.json
-385230527	3	3	3	records/p3/flag-certificates/385230527.json
-385303384	3	3	3	records/p3/flag-certificates/385303384.json
-385335931	3	3	3	records/p3/flag-certificates/385335931.json
-385346811	3	3	3	records/p3/flag-certificates/385346811.json
-385924827	3	3	3	records/p3/flag-certificates/385924827.json
-385988899	3	3	3	records/p3/flag-certificates/385988899.json
-386130547	3	3	3	records/p3/flag-certificates/386130547.json
-386145163	3	3	3	records/p3/flag-certificates/386145163.json
-386202171	3	3	3	records/p3/flag-certificates/386202171.json
-386348279	3	3	3	records/p3/flag-certificates/386348279.json
-386637492	3	3	3	records/p3/flag-certificates/386637492.json
-386686264	3	3	3	records/p3/flag-certificates/386686264.json
-386753523	3	3	3	records/p3/flag-certificates/386753523.json
-386901431	3	3	3	records/p3/flag-certificates/386901431.json
-386908388	3	3	3	records/p3/flag-certificates/386908388.json
-387266811	3	3	3	records/p3/flag-certificates/387266811.json
-387313652	3	3	3	records/p3/flag-certificates/387313652.json
-387439528	3	3	3	records/p3/flag-certificates/387439528.json
-387484644	3	3	9	records/p3/flag-certificates/387484644.json
-387628979	3	3	3	records/p3/flag-certificates/387628979.json
-387788836	3	3	3	records/p3/flag-certificates/387788836.json
-387813415	3	3	3	records/p3/flag-certificates/387813415.json
-387859031	3	3	3	records/p3/flag-certificates/387859031.json
-387961383	3	3	3	records/p3/flag-certificates/387961383.json
-388019263	3	3	3	records/p3/flag-certificates/388019263.json
-388048152	3	3	3	records/p3/flag-certificates/388048152.json
-388183099	3	3	3	records/p3/flag-certificates/388183099.json
-388323755	3	3	9	records/p3/flag-certificates/388323755.json
-388349252	3	3	3	records/p3/flag-certificates/388349252.json
-388358411	3	3	9	records/p3/flag-certificates/388358411.json
-388417487	3	3	3	records/p3/flag-certificates/388417487.json
-388418631	3	3	3	records/p3/flag-certificates/388418631.json
-388477940	3	3	3	records/p3/flag-certificates/388477940.json
-388552535	3	3	3	records/p3/flag-certificates/388552535.json
-388575923	3	3	3	records/p3/flag-certificates/388575923.json
-388586515	3	3	27	records/p3/flag-certificates/388586515.json
-388588155	3	3	3	records/p3/flag-certificates/388588155.json
-388743971	3	3	3	records/p3/flag-certificates/388743971.json
-388762823	3	3	3	records/p3/flag-certificates/388762823.json
-388838291	3	3	3	records/p3/flag-certificates/388838291.json
-388841567	3	3	3	records/p3/flag-certificates/388841567.json
-388855528	3	3	3	records/p3/flag-certificates/388855528.json
-389052627	3	3	3	records/p3/flag-certificates/389052627.json
-389077347	3	3	3	records/p3/flag-certificates/389077347.json
-389078815	3	3	3	records/p3/flag-certificates/389078815.json
-389108863	3	3	3	records/p3/flag-certificates/389108863.json
-389201899	3	3	3	records/p3/flag-certificates/389201899.json
-389418056	3	3	3	records/p3/flag-certificates/389418056.json
-389480356	3	3	3	records/p3/flag-certificates/389480356.json
-389520308	3	3	9	records/p3/flag-certificates/389520308.json
-389713711	3	3	3	records/p3/flag-certificates/389713711.json
-389902324	3	3	3	records/p3/flag-certificates/389902324.json
-389917379	3	3	3	records/p3/flag-certificates/389917379.json
-389923572	3	3	3	records/p3/flag-certificates/389923572.json
-390057892	3	3	3	records/p3/flag-certificates/390057892.json
-390129187	3	3	81	records/p3/flag-certificates/390129187.json
-390149931	3	3	3	records/p3/flag-certificates/390149931.json
-390156883	3	3	81	records/p3/flag-certificates/390156883.json
-390240895	3	3	3	records/p3/flag-certificates/390240895.json
-390298287	3	3	3	records/p3/flag-certificates/390298287.json
-390619351	3	3	3	records/p3/flag-certificates/390619351.json
-390648504	3	3	3	records/p3/flag-certificates/390648504.json
-390676808	3	3	3	records/p3/flag-certificates/390676808.json
-390739476	3	3	3	records/p3/flag-certificates/390739476.json
-390751384	3	3	3	records/p3/flag-certificates/390751384.json
-390762823	3	3	3	records/p3/flag-certificates/390762823.json
-390887807	3	3	3	records/p3/flag-certificates/390887807.json
-390990583	3	3	3	records/p3/flag-certificates/390990583.json
-390996427	3	3	3	records/p3/flag-certificates/390996427.json
-391041995	3	3	3	records/p3/flag-certificates/391041995.json
-391170824	3	3	3	records/p3/flag-certificates/391170824.json
-391513656	3	3	3	records/p3/flag-certificates/391513656.json
-391575903	3	3	3	records/p3/flag-certificates/391575903.json
-391697003	3	3	3	records/p3/flag-certificates/391697003.json
-391946907	3	3	3	records/p3/flag-certificates/391946907.json
-391971252	3	3	3	records/p3/flag-certificates/391971252.json
-392016371	3	3	3	records/p3/flag-certificates/392016371.json
-392128967	3	3	3	records/p3/flag-certificates/392128967.json
-392136467	3	3	3	records/p3/flag-certificates/392136467.json
-392153107	3	3	3	records/p3/flag-certificates/392153107.json
-392241656	3	3	3	records/p3/flag-certificates/392241656.json
-392449924	3	3	3	records/p3/flag-certificates/392449924.json
-392465432	3	3	3	records/p3/flag-certificates/392465432.json
-392540068	3	3	3	records/p3/flag-certificates/392540068.json
-392736484	3	3	3	records/p3/flag-certificates/392736484.json
-392887555	3	3	3	records/p3/flag-certificates/392887555.json
-393347767	3	3	3	records/p3/flag-certificates/393347767.json
-393360868	3	3	3	records/p3/flag-certificates/393360868.json
-393685540	3	3	3	records/p3/flag-certificates/393685540.json
-393994376	3	3	3	records/p3/flag-certificates/393994376.json
-394118468	3	3	3	records/p3/flag-certificates/394118468.json
-394174447	3	3	3	records/p3/flag-certificates/394174447.json
-394573199	3	3	3	records/p3/flag-certificates/394573199.json
-394592759	3	3	3	records/p3/flag-certificates/394592759.json
-394614008	3	3	3	records/p3/flag-certificates/394614008.json
-394977455	3	3	3	records/p3/flag-certificates/394977455.json
-395151807	3	3	3	records/p3/flag-certificates/395151807.json
-395483524	3	3	3	records/p3/flag-certificates/395483524.json
-395577283	3	3	3	records/p3/flag-certificates/395577283.json
-395580459	3	3	3	records/p3/flag-certificates/395580459.json
-395644024	3	3	3	records/p3/flag-certificates/395644024.json
-395718196	3	3	3	records/p3/flag-certificates/395718196.json
-395966660	3	3	3	records/p3/flag-certificates/395966660.json
-395995476	3	3	27	records/p3/flag-certificates/395995476.json
-396146823	3	3	3	records/p3/flag-certificates/396146823.json
-396400047	3	3	3	records/p3/flag-certificates/396400047.json
-396730488	3	3	3	records/p3/flag-certificates/396730488.json
-396754339	3	3	9	records/p3/flag-certificates/396754339.json
-396802239	3	3	3	records/p3/flag-certificates/396802239.json
-396831255	3	3	3	records/p3/flag-certificates/396831255.json
-396846131	3	3	3	records/p3/flag-certificates/396846131.json
-396848891	3	3	3	records/p3/flag-certificates/396848891.json
-396894491	3	3	3	records/p3/flag-certificates/396894491.json
-396920584	3	3	3	records/p3/flag-certificates/396920584.json
-396953435	3	3	3	records/p3/flag-certificates/396953435.json
-397006095	3	3	3	records/p3/flag-certificates/397006095.json
-397023032	3	3	3	records/p3/flag-certificates/397023032.json
-397030468	3	3	9	records/p3/flag-certificates/397030468.json
-397178171	3	3	3	records/p3/flag-certificates/397178171.json
-397220383	3	3	3	records/p3/flag-certificates/397220383.json
-397382827	3	3	27	records/p3/flag-certificates/397382827.json
-397452979	3	3	9	records/p3/flag-certificates/397452979.json
-397539939	3	3	3	records/p3/flag-certificates/397539939.json
-397602587	3	3	3	records/p3/flag-certificates/397602587.json
-397812536	3	3	3	records/p3/flag-certificates/397812536.json
-397817815	3	3	3	records/p3/flag-certificates/397817815.json
-397843231	3	3	3	records/p3/flag-certificates/397843231.json
-397984692	3	3	3	records/p3/flag-certificates/397984692.json
-397993211	3	3	9	records/p3/flag-certificates/397993211.json
-398008983	3	3	3	records/p3/flag-certificates/398008983.json
-398018407	3	3	9	records/p3/flag-certificates/398018407.json
-398039335	3	3	3	records/p3/flag-certificates/398039335.json
-398088952	3	3	3	records/p3/flag-certificates/398088952.json
-398246260	3	3	3	records/p3/flag-certificates/398246260.json
-398296187	3	3	3	records/p3/flag-certificates/398296187.json
-398330771	3	3	3	records/p3/flag-certificates/398330771.json
-398428968	3	3	3	records/p3/flag-certificates/398428968.json
-398429447	3	3	3	records/p3/flag-certificates/398429447.json
-398457391	3	3	3	records/p3/flag-certificates/398457391.json
-398471719	3	3	3	records/p3/flag-certificates/398471719.json
-398492455	3	3	3	records/p3/flag-certificates/398492455.json
-398520536	3	3	3	records/p3/flag-certificates/398520536.json
-398575291	3	3	3	records/p3/flag-certificates/398575291.json
-398680095	3	3	3	records/p3/flag-certificates/398680095.json
-398692187	3	3	3	records/p3/flag-certificates/398692187.json
-398702559	3	3	3	records/p3/flag-certificates/398702559.json
-398758436	3	3	3	records/p3/flag-certificates/398758436.json
-398820567	3	3	3	records/p3/flag-certificates/398820567.json
-399006691	3	3	3	records/p3/flag-certificates/399006691.json
-399124451	3	3	3	records/p3/flag-certificates/399124451.json
-399157699	3	3	3	records/p3/flag-certificates/399157699.json
-399198811	3	3	27	records/p3/flag-certificates/399198811.json
-399405191	3	3	3	records/p3/flag-certificates/399405191.json
-399419896	3	3	9	records/p3/flag-certificates/399419896.json
-399589624	3	3	3	records/p3/flag-certificates/399589624.json
-399678007	3	3	3	records/p3/flag-certificates/399678007.json
-399815403	3	3	3	records/p3/flag-certificates/399815403.json
-400079035	3	3	3	records/p3/flag-certificates/400079035.json
-400124740	3	3	3	records/p3/flag-certificates/400124740.json
-400127367	3	3	3	records/p3/flag-certificates/400127367.json
-400165784	3	3	3	records/p3/flag-certificates/400165784.json
-400172159	3	3	3	records/p3/flag-certificates/400172159.json
-400266356	3	3	3	records/p3/flag-certificates/400266356.json
-400639595	3	3	3	records/p3/flag-certificates/400639595.json
-400868867	3	3	3	records/p3/flag-certificates/400868867.json
-400899803	3	3	3	records/p3/flag-certificates/400899803.json
-400900627	3	3	3	records/p3/flag-certificates/400900627.json
-400937555	3	3	3	records/p3/flag-certificates/400937555.json
-401040743	3	3	27	records/p3/flag-certificates/401040743.json
-401044856	3	3	3	records/p3/flag-certificates/401044856.json
-401270007	3	3	3	records/p3/flag-certificates/401270007.json
-401288359	3	3	3	records/p3/flag-certificates/401288359.json
-401310319	3	3	3	records/p3/flag-certificates/401310319.json
-401321487	3	3	3	records/p3/flag-certificates/401321487.json
-401477043	3	3	3	records/p3/flag-certificates/401477043.json
-401574340	3	3	3	records/p3/flag-certificates/401574340.json
-402208804	3	3	3	records/p3/flag-certificates/402208804.json
-402256595	3	3	9	records/p3/flag-certificates/402256595.json
-402394639	3	3	3	records/p3/flag-certificates/402394639.json
-402685912	3	3	3	records/p3/flag-certificates/402685912.json
-402926203	3	3	3	records/p3/flag-certificates/402926203.json
-402930259	3	3	3	records/p3/flag-certificates/402930259.json
-403054815	3	3	3	records/p3/flag-certificates/403054815.json
-403113460	3	3	3	records/p3/flag-certificates/403113460.json
-403203991	3	3	3	records/p3/flag-certificates/403203991.json
-403208227	3	3	3	records/p3/flag-certificates/403208227.json
-403393559	3	3	3	records/p3/flag-certificates/403393559.json
-403422168	3	3	3	records/p3/flag-certificates/403422168.json
-403591447	3	3	3	records/p3/flag-certificates/403591447.json
-403706536	3	3	3	records/p3/flag-certificates/403706536.json
-403732311	3	3	3	records/p3/flag-certificates/403732311.json
-403760703	3	3	3	records/p3/flag-certificates/403760703.json
-403919547	3	3	27	records/p3/flag-certificates/403919547.json
-403921743	3	3	3	records/p3/flag-certificates/403921743.json
-404061176	3	3	3	records/p3/flag-certificates/404061176.json
-404073959	3	3	3	records/p3/flag-certificates/404073959.json
-404130887	3	3	3	records/p3/flag-certificates/404130887.json
-404217012	3	3	3	records/p3/flag-certificates/404217012.json
-404286511	3	3	3	records/p3/flag-certificates/404286511.json
-404366344	3	3	3	records/p3/flag-certificates/404366344.json
-404437172	3	3	3	records/p3/flag-certificates/404437172.json
-404609108	3	3	3	records/p3/flag-certificates/404609108.json
-404678479	3	3	3	records/p3/flag-certificates/404678479.json
-404702952	3	3	3	records/p3/flag-certificates/404702952.json
-404751587	3	3	3	records/p3/flag-certificates/404751587.json
-404753451	3	3	3	records/p3/flag-certificates/404753451.json
-404766903	3	3	3	records/p3/flag-certificates/404766903.json
-404889683	3	3	3	records/p3/flag-certificates/404889683.json
-404929955	3	3	3	records/p3/flag-certificates/404929955.json
-405200659	3	3	3	records/p3/flag-certificates/405200659.json
-405435035	3	3	3	records/p3/flag-certificates/405435035.json
-405599311	3	3	3	records/p3/flag-certificates/405599311.json
-405712459	3	3	3	records/p3/flag-certificates/405712459.json
-406258004	3	3	3	records/p3/flag-certificates/406258004.json
-406318411	3	3	3	records/p3/flag-certificates/406318411.json
-406382664	3	3	3	records/p3/flag-certificates/406382664.json
-406429496	3	3	9	records/p3/flag-certificates/406429496.json
-406535208	3	3	3	records/p3/flag-certificates/406535208.json
-406557427	3	3	3	records/p3/flag-certificates/406557427.json
-406948027	3	3	3	records/p3/flag-certificates/406948027.json
-407047763	3	3	3	records/p3/flag-certificates/407047763.json
-407084827	3	3	3	records/p3/flag-certificates/407084827.json
-407140639	3	3	3	records/p3/flag-certificates/407140639.json
-407147496	3	3	3	records/p3/flag-certificates/407147496.json
-407226355	3	3	3	records/p3/flag-certificates/407226355.json
-407420395	3	3	3	records/p3/flag-certificates/407420395.json
-407442143	3	3	3	records/p3/flag-certificates/407442143.json
-407446399	3	3	3	records/p3/flag-certificates/407446399.json
-407583780	3	3	3	records/p3/flag-certificates/407583780.json
-407811556	3	3	3	records/p3/flag-certificates/407811556.json
-407858695	3	3	3	records/p3/flag-certificates/407858695.json
-408045831	3	3	3	records/p3/flag-certificates/408045831.json
-408072031	3	3	3	records/p3/flag-certificates/408072031.json
-408076347	3	3	3	records/p3/flag-certificates/408076347.json
-408104447	3	3	3	records/p3/flag-certificates/408104447.json
-408146691	3	3	3	records/p3/flag-certificates/408146691.json
-408229935	3	3	9	records/p3/flag-certificates/408229935.json
-408320619	3	3	3	records/p3/flag-certificates/408320619.json
-408354904	3	3	3	records/p3/flag-certificates/408354904.json
-408526799	3	3	3	records/p3/flag-certificates/408526799.json
-408542631	3	3	3	records/p3/flag-certificates/408542631.json
-408815988	3	3	3	records/p3/flag-certificates/408815988.json
-408920647	3	3	3	records/p3/flag-certificates/408920647.json
-409011359	3	3	3	records/p3/flag-certificates/409011359.json
-409057892	3	3	3	records/p3/flag-certificates/409057892.json
-409072231	3	3	3	records/p3/flag-certificates/409072231.json
-409113571	3	3	9	records/p3/flag-certificates/409113571.json
-409146971	3	3	9	records/p3/flag-certificates/409146971.json
-409155159	3	3	3	records/p3/flag-certificates/409155159.json
-409164887	3	3	3	records/p3/flag-certificates/409164887.json
-409225567	3	3	9	records/p3/flag-certificates/409225567.json
-409266235	3	3	3	records/p3/flag-certificates/409266235.json
-409297723	3	3	3	records/p3/flag-certificates/409297723.json
-409632243	3	3	3	records/p3/flag-certificates/409632243.json
-409680367	3	3	3	records/p3/flag-certificates/409680367.json
-409872427	3	3	3	records/p3/flag-certificates/409872427.json
-410105352	3	3	3	records/p3/flag-certificates/410105352.json
-410123908	3	3	3	records/p3/flag-certificates/410123908.json
-410137795	3	3	3	records/p3/flag-certificates/410137795.json
-410229415	3	3	3	records/p3/flag-certificates/410229415.json
-410276964	3	3	3	records/p3/flag-certificates/410276964.json
-410407951	3	3	3	records/p3/flag-certificates/410407951.json
-410649647	3	3	3	records/p3/flag-certificates/410649647.json
-410667539	3	3	3	records/p3/flag-certificates/410667539.json
-410742436	3	3	3	records/p3/flag-certificates/410742436.json
-410907983	3	3	3	records/p3/flag-certificates/410907983.json
-410939479	3	3	27	records/p3/flag-certificates/410939479.json
-410956651	3	3	3	records/p3/flag-certificates/410956651.json
-411167039	3	3	3	records/p3/flag-certificates/411167039.json
-411207416	3	3	9	records/p3/flag-certificates/411207416.json
-411343955	3	3	3	records/p3/flag-certificates/411343955.json
-411473171	3	3	3	records/p3/flag-certificates/411473171.json
-411487451	3	3	3	records/p3/flag-certificates/411487451.json
-411494696	3	3	9	records/p3/flag-certificates/411494696.json
-411675007	3	3	3	records/p3/flag-certificates/411675007.json
-411903572	3	3	3	records/p3/flag-certificates/411903572.json
-411969268	3	3	3	records/p3/flag-certificates/411969268.json
-412052659	3	3	3	records/p3/flag-certificates/412052659.json
-412200840	3	3	3	records/p3/flag-certificates/412200840.json
-412222855	3	3	3	records/p3/flag-certificates/412222855.json
-412253931	3	3	3	records/p3/flag-certificates/412253931.json
-412259891	3	3	3	records/p3/flag-certificates/412259891.json
-412499955	3	3	3	records/p3/flag-certificates/412499955.json
-412546664	3	3	3	records/p3/flag-certificates/412546664.json
-412579211	3	3	9	records/p3/flag-certificates/412579211.json
-412664711	3	3	3	records/p3/flag-certificates/412664711.json
-412739267	3	3	3	records/p3/flag-certificates/412739267.json
-413037220	3	3	3	records/p3/flag-certificates/413037220.json
-413114035	3	3	3	records/p3/flag-certificates/413114035.json
-413320247	3	3	3	records/p3/flag-certificates/413320247.json
-413334611	3	3	3	records/p3/flag-certificates/413334611.json
-413635183	3	3	3	records/p3/flag-certificates/413635183.json
-413657131	3	3	3	records/p3/flag-certificates/413657131.json
-413673236	3	3	3	records/p3/flag-certificates/413673236.json
-413706571	3	3	3	records/p3/flag-certificates/413706571.json
-413714695	3	3	3	records/p3/flag-certificates/413714695.json
-413715895	3	3	3	records/p3/flag-certificates/413715895.json
-413737887	3	3	3	records/p3/flag-certificates/413737887.json
-413828155	3	3	3	records/p3/flag-certificates/413828155.json
-413918923	3	3	3	records/p3/flag-certificates/413918923.json
-414117491	3	3	3	records/p3/flag-certificates/414117491.json
-414127003	3	3	3	records/p3/flag-certificates/414127003.json
-414144068	3	3	3	records/p3/flag-certificates/414144068.json
-414298852	3	3	3	records/p3/flag-certificates/414298852.json
-414342712	3	3	3	records/p3/flag-certificates/414342712.json
-414370468	3	3	3	records/p3/flag-certificates/414370468.json
-414551204	3	3	3	records/p3/flag-certificates/414551204.json
-414580631	3	3	3	records/p3/flag-certificates/414580631.json
-414684312	3	3	3	records/p3/flag-certificates/414684312.json
-414694563	3	3	27	records/p3/flag-certificates/414694563.json
-414700639	3	3	3	records/p3/flag-certificates/414700639.json
-414871411	3	3	27	records/p3/flag-certificates/414871411.json
-415131631	3	3	3	records/p3/flag-certificates/415131631.json
-415143563	3	3	9	records/p3/flag-certificates/415143563.json
-415160612	3	3	3	records/p3/flag-certificates/415160612.json
-415202491	3	3	3	records/p3/flag-certificates/415202491.json
-415228259	3	3	9	records/p3/flag-certificates/415228259.json
-415259239	3	3	3	records/p3/flag-certificates/415259239.json
-415290867	3	3	3	records/p3/flag-certificates/415290867.json
-415298051	3	3	3	records/p3/flag-certificates/415298051.json
-415595779	3	3	3	records/p3/flag-certificates/415595779.json
-415724487	3	3	3	records/p3/flag-certificates/415724487.json
-415855463	3	3	3	records/p3/flag-certificates/415855463.json
-415856887	3	3	3	records/p3/flag-certificates/415856887.json
-416101384	3	3	3	records/p3/flag-certificates/416101384.json
-416178311	3	3	3	records/p3/flag-certificates/416178311.json
-416223039	3	3	3	records/p3/flag-certificates/416223039.json
-416438580	3	3	3	records/p3/flag-certificates/416438580.json
-416716559	3	3	3	records/p3/flag-certificates/416716559.json
-416761715	3	3	3	records/p3/flag-certificates/416761715.json
-416848436	3	3	3	records/p3/flag-certificates/416848436.json
-416871735	3	3	3	records/p3/flag-certificates/416871735.json
-416983655	3	3	3	records/p3/flag-certificates/416983655.json
-416994559	3	3	81	records/p3/flag-certificates/416994559.json
-417027080	3	3	3	records/p3/flag-certificates/417027080.json
-417137691	3	3	3	records/p3/flag-certificates/417137691.json
-417140551	3	3	27	records/p3/flag-certificates/417140551.json
-417175051	3	3	3	records/p3/flag-certificates/417175051.json
-417353343	3	3	27	records/p3/flag-certificates/417353343.json
-417558891	3	3	3	records/p3/flag-certificates/417558891.json
-417565283	3	3	3	records/p3/flag-certificates/417565283.json
-417701256	3	3	3	records/p3/flag-certificates/417701256.json
-417721307	3	3	3	records/p3/flag-certificates/417721307.json
-417902259	3	3	3	records/p3/flag-certificates/417902259.json
-417971203	3	3	3	records/p3/flag-certificates/417971203.json
-418030388	3	3	3	records/p3/flag-certificates/418030388.json
-418153935	3	3	9	records/p3/flag-certificates/418153935.json
-418192615	3	3	3	records/p3/flag-certificates/418192615.json
-418320907	3	3	3	records/p3/flag-certificates/418320907.json
-418404299	3	3	27	records/p3/flag-certificates/418404299.json
-418476839	3	3	3	records/p3/flag-certificates/418476839.json
-418495163	3	3	3	records/p3/flag-certificates/418495163.json
-418500491	3	3	3	records/p3/flag-certificates/418500491.json
-418685588	3	3	3	records/p3/flag-certificates/418685588.json
-418755135	3	3	81	records/p3/flag-certificates/418755135.json
-418761923	3	3	3	records/p3/flag-certificates/418761923.json
-418852616	3	3	27	records/p3/flag-certificates/418852616.json
-418892287	3	3	3	records/p3/flag-certificates/418892287.json
-418908563	3	3	3	records/p3/flag-certificates/418908563.json
-418932719	3	3	3	records/p3/flag-certificates/418932719.json
-419040143	3	3	3	records/p3/flag-certificates/419040143.json
-419459695	3	3	3	records/p3/flag-certificates/419459695.json
-419499211	3	3	3	records/p3/flag-certificates/419499211.json
-419602328	3	3	3	records/p3/flag-certificates/419602328.json
-419652667	3	3	27	records/p3/flag-certificates/419652667.json
-419672495	3	3	9	records/p3/flag-certificates/419672495.json
-419676379	3	3	3	records/p3/flag-certificates/419676379.json
-419679359	3	3	3	records/p3/flag-certificates/419679359.json
-419734487	3	3	9	records/p3/flag-certificates/419734487.json
-419739523	3	3	3	records/p3/flag-certificates/419739523.json
-419867967	3	3	3	records/p3/flag-certificates/419867967.json
-419901583	3	3	3	records/p3/flag-certificates/419901583.json
-420012111	3	3	3	records/p3/flag-certificates/420012111.json
-420061603	3	3	3	records/p3/flag-certificates/420061603.json
-420183524	3	3	3	records/p3/flag-certificates/420183524.json
-420239903	3	3	3	records/p3/flag-certificates/420239903.json
-420499544	3	3	3	records/p3/flag-certificates/420499544.json
-420673719	3	3	3	records/p3/flag-certificates/420673719.json
-420755959	3	3	3	records/p3/flag-certificates/420755959.json
-420907416	3	3	3	records/p3/flag-certificates/420907416.json
-420936967	3	3	3	records/p3/flag-certificates/420936967.json
-420989528	3	3	3	records/p3/flag-certificates/420989528.json
-421013351	3	3	3	records/p3/flag-certificates/421013351.json
-421051843	3	3	3	records/p3/flag-certificates/421051843.json
-421053103	3	3	81	records/p3/flag-certificates/421053103.json
-421242436	3	3	9	records/p3/flag-certificates/421242436.json
-421289979	3	3	3	records/p3/flag-certificates/421289979.json
-421358219	3	3	3	records/p3/flag-certificates/421358219.json
-421478995	3	3	3	records/p3/flag-certificates/421478995.json
-421496707	3	3	3	records/p3/flag-certificates/421496707.json
-421601035	3	3	3	records/p3/flag-certificates/421601035.json
-421653108	3	3	3	records/p3/flag-certificates/421653108.json
-421962899	3	3	9	records/p3/flag-certificates/421962899.json
-422010051	3	3	9	records/p3/flag-certificates/422010051.json
-422022291	3	3	3	records/p3/flag-certificates/422022291.json
-422074371	3	3	3	records/p3/flag-certificates/422074371.json
-422145391	3	3	3	records/p3/flag-certificates/422145391.json
-422501271	3	3	3	records/p3/flag-certificates/422501271.json
-422573027	3	3	3	records/p3/flag-certificates/422573027.json
-422604744	3	3	3	records/p3/flag-certificates/422604744.json
-422671495	3	3	9	records/p3/flag-certificates/422671495.json
-422817896	3	3	3	records/p3/flag-certificates/422817896.json
-422848612	3	3	3	records/p3/flag-certificates/422848612.json
-423006868	3	3	3	records/p3/flag-certificates/423006868.json
-423057791	3	3	3	records/p3/flag-certificates/423057791.json
-423129832	3	3	3	records/p3/flag-certificates/423129832.json
-423157871	3	3	3	records/p3/flag-certificates/423157871.json
-423175927	3	3	3	records/p3/flag-certificates/423175927.json
-423179220	3	3	6561	records/p3/flag-certificates/423179220.json
-423223663	3	3	3	records/p3/flag-certificates/423223663.json
-423403195	3	3	3	records/p3/flag-certificates/423403195.json
-423513652	3	3	3	records/p3/flag-certificates/423513652.json
-423572367	3	3	3	records/p3/flag-certificates/423572367.json
-423628372	3	3	3	records/p3/flag-certificates/423628372.json
-423647444	3	3	3	records/p3/flag-certificates/423647444.json
-423727115	3	3	3	records/p3/flag-certificates/423727115.json
-423887019	3	3	3	records/p3/flag-certificates/423887019.json
-423937579	3	3	3	records/p3/flag-certificates/423937579.json
-424036727	3	3	3	records/p3/flag-certificates/424036727.json
-424250227	3	3	3	records/p3/flag-certificates/424250227.json
-424402996	3	3	3	records/p3/flag-certificates/424402996.json
-424570792	3	3	3	records/p3/flag-certificates/424570792.json
-424595443	3	3	3	records/p3/flag-certificates/424595443.json
-424738232	3	3	3	records/p3/flag-certificates/424738232.json
-424961387	3	3	3	records/p3/flag-certificates/424961387.json
-424998676	3	3	3	records/p3/flag-certificates/424998676.json
-425329967	3	3	27	records/p3/flag-certificates/425329967.json
-425374755	3	3	3	records/p3/flag-certificates/425374755.json
-425400251	3	3	3	records/p3/flag-certificates/425400251.json
-425503272	3	3	3	records/p3/flag-certificates/425503272.json
-425708951	3	3	3	records/p3/flag-certificates/425708951.json
-425752519	3	3	3	records/p3/flag-certificates/425752519.json
-425807087	3	3	3	records/p3/flag-certificates/425807087.json
-426120884	3	3	9	records/p3/flag-certificates/426120884.json
-426166696	3	3	3	records/p3/flag-certificates/426166696.json
-426235096	3	3	243	records/p3/flag-certificates/426235096.json
-426314171	3	3	3	records/p3/flag-certificates/426314171.json
-426342295	3	3	3	records/p3/flag-certificates/426342295.json
-426436324	3	3	3	records/p3/flag-certificates/426436324.json
-426479656	3	3	3	records/p3/flag-certificates/426479656.json
-426523303	3	3	81	records/p3/flag-certificates/426523303.json
-426533092	3	3	3	records/p3/flag-certificates/426533092.json
-426573547	3	3	3	records/p3/flag-certificates/426573547.json
-426640803	3	3	3	records/p3/flag-certificates/426640803.json
