# Part W7: the fields decided by a word count after a change of variables, one line per field.
# Columns: discriminant, prime p, p-class rank, coefficient field q of the change of variables, certificate file.
# The certificate records the change of variables and the high terms of the completed basis; see records/p3/flag-certificates/FORMAT.md.
discriminant	p	rank	q	certificate
-25748312	3	3	3	records/p3/flag-certificates/25748312.json
-25997167	3	3	3	records/p3/flag-certificates/25997167.json
-26156083	3	3	3	records/p3/flag-certificates/26156083.json
-26430603	3	3	3	records/p3/flag-certificates/26430603.json
-26514856	3	3	9	records/p3/flag-certificates/26514856.json
-26607371	3	3	3	records/p3/flag-certificates/26607371.json
-26758111	3	3	3	records/p3/flag-certificates/26758111.json
-27458447	3	3	3	records/p3/flag-certificates/27458447.json
-27607115	3	3	3	records/p3/flag-certificates/27607115.json
-27634267	3	3	9	records/p3/flag-certificates/27634267.json
-27808763	3	3	3	records/p3/flag-certificates/27808763.json
-27840799	3	3	3	records/p3/flag-certificates/27840799.json
-27858536	3	3	3	records/p3/flag-certificates/27858536.json
-28114627	3	3	3	records/p3/flag-certificates/28114627.json
-28494568	3	3	9	records/p3/flag-certificates/28494568.json
-28502452	3	3	243	records/p3/flag-certificates/28502452.json
-28732623	3	3	3	records/p3/flag-certificates/28732623.json
-28914811	3	3	3	records/p3/flag-certificates/28914811.json
-28991499	3	3	3	records/p3/flag-certificates/28991499.json
-28996895	3	3	3	records/p3/flag-certificates/28996895.json
-29039896	3	3	3	records/p3/flag-certificates/29039896.json
-29313672	3	3	3	records/p3/flag-certificates/29313672.json
-29349211	3	3	3	records/p3/flag-certificates/29349211.json
-29482627	3	3	3	records/p3/flag-certificates/29482627.json
-29597551	3	3	3	records/p3/flag-certificates/29597551.json
-29613268	3	3	3	records/p3/flag-certificates/29613268.json
-29676772	3	3	3	records/p3/flag-certificates/29676772.json
-29725336	3	3	3	records/p3/flag-certificates/29725336.json
-30078739	3	3	3	records/p3/flag-certificates/30078739.json
-30110403	3	3	3	records/p3/flag-certificates/30110403.json
-30365267	3	3	3	records/p3/flag-certificates/30365267.json
-30470603	3	3	3	records/p3/flag-certificates/30470603.json
-30479731	3	3	3	records/p3/flag-certificates/30479731.json
-30536548	3	3	3	records/p3/flag-certificates/30536548.json
-30580763	3	3	3	records/p3/flag-certificates/30580763.json
-30778471	3	3	3	records/p3/flag-certificates/30778471.json
-31170815	3	3	3	records/p3/flag-certificates/31170815.json
-31604267	3	3	3	records/p3/flag-certificates/31604267.json
-31859095	3	3	3	records/p3/flag-certificates/31859095.json
-32139951	3	3	3	records/p3/flag-certificates/32139951.json
-32256687	3	3	3	records/p3/flag-certificates/32256687.json
-32332891	3	3	3	records/p3/flag-certificates/32332891.json
-32494888	3	3	3	records/p3/flag-certificates/32494888.json
-32711691	3	3	3	records/p3/flag-certificates/32711691.json
-32830228	3	3	3	records/p3/flag-certificates/32830228.json
-32852423	3	3	3	records/p3/flag-certificates/32852423.json
-32922883	3	3	3	records/p3/flag-certificates/32922883.json
-32967727	3	3	9	records/p3/flag-certificates/32967727.json
-33450387	3	3	3	records/p3/flag-certificates/33450387.json
-33505727	3	3	3	records/p3/flag-certificates/33505727.json
-33543383	3	3	9	records/p3/flag-certificates/33543383.json
-33778824	3	3	3	records/p3/flag-certificates/33778824.json
-33866072	3	3	3	records/p3/flag-certificates/33866072.json
-33889487	3	3	3	records/p3/flag-certificates/33889487.json
-34019704	3	3	81	records/p3/flag-certificates/34019704.json
-34025032	3	3	3	records/p3/flag-certificates/34025032.json
-34294431	3	3	3	records/p3/flag-certificates/34294431.json
-34365368	3	3	3	records/p3/flag-certificates/34365368.json
-34394964	3	3	3	records/p3/flag-certificates/34394964.json
-34395976	3	3	3	records/p3/flag-certificates/34395976.json
-34410767	3	3	3	records/p3/flag-certificates/34410767.json
-34557071	3	3	3	records/p3/flag-certificates/34557071.json
-34700727	3	3	3	records/p3/flag-certificates/34700727.json
-34757159	3	3	3	records/p3/flag-certificates/34757159.json
-35063799	3	3	3	records/p3/flag-certificates/35063799.json
-35180884	3	3	3	records/p3/flag-certificates/35180884.json
-35269627	3	3	3	records/p3/flag-certificates/35269627.json
-35275411	3	3	27	records/p3/flag-certificates/35275411.json
-35397931	3	3	3	records/p3/flag-certificates/35397931.json
-35470387	3	3	9	records/p3/flag-certificates/35470387.json
-35494763	3	3	3	records/p3/flag-certificates/35494763.json
-35858996	3	3	3	records/p3/flag-certificates/35858996.json
-35910676	3	3	3	records/p3/flag-certificates/35910676.json
-36323563	3	3	9	records/p3/flag-certificates/36323563.json
-36352456	3	3	3	records/p3/flag-certificates/36352456.json
-36399667	3	3	3	records/p3/flag-certificates/36399667.json
-36519044	3	3	3	records/p3/flag-certificates/36519044.json
-36848479	3	3	6561	records/p3/flag-certificates/36848479.json
-36975896	3	3	9	records/p3/flag-certificates/36975896.json
-37418788	3	3	27	records/p3/flag-certificates/37418788.json
-37595407	3	3	3	records/p3/flag-certificates/37595407.json
-37762223	3	3	3	records/p3/flag-certificates/37762223.json
-37935860	3	3	3	records/p3/flag-certificates/37935860.json
-37940287	3	3	3	records/p3/flag-certificates/37940287.json
-38206088	3	3	3	records/p3/flag-certificates/38206088.json
-38547491	3	3	3	records/p3/flag-certificates/38547491.json
-38582072	3	3	3	records/p3/flag-certificates/38582072.json
-38588287	3	3	3	records/p3/flag-certificates/38588287.json
-38683940	3	3	3	records/p3/flag-certificates/38683940.json
-38711939	3	3	3	records/p3/flag-certificates/38711939.json
-38934467	3	3	3	records/p3/flag-certificates/38934467.json
-39026155	3	3	3	records/p3/flag-certificates/39026155.json
-39678747	3	3	3	records/p3/flag-certificates/39678747.json
-39726931	3	3	3	records/p3/flag-certificates/39726931.json
-40294232	3	3	3	records/p3/flag-certificates/40294232.json
-40305668	3	3	3	records/p3/flag-certificates/40305668.json
-40524047	3	3	3	records/p3/flag-certificates/40524047.json
-40628227	3	3	3	records/p3/flag-certificates/40628227.json
-40644155	3	3	3	records/p3/flag-certificates/40644155.json
-40956599	3	3	3	records/p3/flag-certificates/40956599.json
-40974248	3	3	3	records/p3/flag-certificates/40974248.json
-41128408	3	3	3	records/p3/flag-certificates/41128408.json
-41337480	3	3	3	records/p3/flag-certificates/41337480.json
-41344543	3	3	3	records/p3/flag-certificates/41344543.json
-41443599	3	3	3	records/p3/flag-certificates/41443599.json
-41477179	3	3	3	records/p3/flag-certificates/41477179.json
-41755827	3	3	3	records/p3/flag-certificates/41755827.json
-41889531	3	3	3	records/p3/flag-certificates/41889531.json
-41896536	3	3	3	records/p3/flag-certificates/41896536.json
-41980504	3	3	3	records/p3/flag-certificates/41980504.json
-42071235	3	3	3	records/p3/flag-certificates/42071235.json
-42132596	3	3	3	records/p3/flag-certificates/42132596.json
-42252679	3	3	3	records/p3/flag-certificates/42252679.json
-42322639	3	3	3	records/p3/flag-certificates/42322639.json
-42503351	3	3	3	records/p3/flag-certificates/42503351.json
-42587971	3	3	3	records/p3/flag-certificates/42587971.json
-42686563	3	3	3	records/p3/flag-certificates/42686563.json
-42808163	3	3	3	records/p3/flag-certificates/42808163.json
-42826011	3	3	3	records/p3/flag-certificates/42826011.json
-42895603	3	3	3	records/p3/flag-certificates/42895603.json
-42907123	3	3	3	records/p3/flag-certificates/42907123.json
-42986939	3	3	3	records/p3/flag-certificates/42986939.json
-43080191	3	3	3	records/p3/flag-certificates/43080191.json
-43139524	3	3	3	records/p3/flag-certificates/43139524.json
-43376628	3	3	3	records/p3/flag-certificates/43376628.json
-43461239	3	3	3	records/p3/flag-certificates/43461239.json
-43586455	3	3	3	records/p3/flag-certificates/43586455.json
-43710943	3	3	243	records/p3/flag-certificates/43710943.json
-43798756	3	3	9	records/p3/flag-certificates/43798756.json
-43963060	3	3	3	records/p3/flag-certificates/43963060.json
-43987623	3	3	3	records/p3/flag-certificates/43987623.json
-44097816	3	3	3	records/p3/flag-certificates/44097816.json
-44378884	3	3	9	records/p3/flag-certificates/44378884.json
-44387671	3	3	3	records/p3/flag-certificates/44387671.json
-44659183	3	3	3	records/p3/flag-certificates/44659183.json
-44671307	3	3	3	records/p3/flag-certificates/44671307.json
-44772863	3	3	3	records/p3/flag-certificates/44772863.json
-44813091	3	3	3	records/p3/flag-certificates/44813091.json
-44849411	3	3	27	records/p3/flag-certificates/44849411.json
-45183043	3	3	3	records/p3/flag-certificates/45183043.json
-45554287	3	3	3	records/p3/flag-certificates/45554287.json
-45722467	3	3	3	records/p3/flag-certificates/45722467.json
-45770539	3	3	3	records/p3/flag-certificates/45770539.json
-45971092	3	3	3	records/p3/flag-certificates/45971092.json
-46220036	3	3	3	records/p3/flag-certificates/46220036.json
-46237207	3	3	3	records/p3/flag-certificates/46237207.json
-46280315	3	3	3	records/p3/flag-certificates/46280315.json
-46356087	3	3	3	records/p3/flag-certificates/46356087.json
-46677864	3	3	3	records/p3/flag-certificates/46677864.json
-46887364	3	3	3	records/p3/flag-certificates/46887364.json
-46905323	3	3	3	records/p3/flag-certificates/46905323.json
-47332147	3	3	3	records/p3/flag-certificates/47332147.json
-47450935	3	3	3	records/p3/flag-certificates/47450935.json
-47455087	3	3	3	records/p3/flag-certificates/47455087.json
-47677668	3	3	3	records/p3/flag-certificates/47677668.json
-47831891	3	3	3	records/p3/flag-certificates/47831891.json
-47963219	3	3	3	records/p3/flag-certificates/47963219.json
-48330759	3	3	3	records/p3/flag-certificates/48330759.json
-48511515	3	3	3	records/p3/flag-certificates/48511515.json
-48651143	3	3	3	records/p3/flag-certificates/48651143.json
-48862488	3	3	3	records/p3/flag-certificates/48862488.json
-48973895	3	3	3	records/p3/flag-certificates/48973895.json
-49127647	3	3	3	records/p3/flag-certificates/49127647.json
-49303355	3	3	3	records/p3/flag-certificates/49303355.json
-49594276	3	3	3	records/p3/flag-certificates/49594276.json
-49666519	3	3	3	records/p3/flag-certificates/49666519.json
-49723123	3	3	9	records/p3/flag-certificates/49723123.json
-49875223	3	3	9	records/p3/flag-certificates/49875223.json
-50065655	3	3	3	records/p3/flag-certificates/50065655.json
-50463903	3	3	3	records/p3/flag-certificates/50463903.json
-50563859	3	3	3	records/p3/flag-certificates/50563859.json
-50566564	3	3	3	records/p3/flag-certificates/50566564.json
-50609427	3	3	3	records/p3/flag-certificates/50609427.json
-50611819	3	3	3	records/p3/flag-certificates/50611819.json
-50713799	3	3	3	records/p3/flag-certificates/50713799.json
-50831112	3	3	3	records/p3/flag-certificates/50831112.json
-50977103	3	3	3	records/p3/flag-certificates/50977103.json
-50994247	3	3	3	records/p3/flag-certificates/50994247.json
-51065211	3	3	3	records/p3/flag-certificates/51065211.json
-51274915	3	3	3	records/p3/flag-certificates/51274915.json
-51371291	3	3	9	records/p3/flag-certificates/51371291.json
-51880371	3	3	3	records/p3/flag-certificates/51880371.json
-52088423	3	3	9	records/p3/flag-certificates/52088423.json
-52119327	3	3	3	records/p3/flag-certificates/52119327.json
-52494539	3	3	3	records/p3/flag-certificates/52494539.json
-52517111	3	3	3	records/p3/flag-certificates/52517111.json
-52532008	3	3	3	records/p3/flag-certificates/52532008.json
-52722084	3	3	3	records/p3/flag-certificates/52722084.json
-52743011	3	3	3	records/p3/flag-certificates/52743011.json
-53090887	3	3	3	records/p3/flag-certificates/53090887.json
-53246276	3	3	9	records/p3/flag-certificates/53246276.json
-53395079	3	3	3	records/p3/flag-certificates/53395079.json
-53450299	3	3	3	records/p3/flag-certificates/53450299.json
-53472280	3	3	3	records/p3/flag-certificates/53472280.json
-53893759	3	3	3	records/p3/flag-certificates/53893759.json
-53997976	3	3	9	records/p3/flag-certificates/53997976.json
-54060483	3	3	3	records/p3/flag-certificates/54060483.json
-54258447	3	3	3	records/p3/flag-certificates/54258447.json
-54433787	3	3	3	records/p3/flag-certificates/54433787.json
-54530671	3	3	3	records/p3/flag-certificates/54530671.json
-54750952	3	3	3	records/p3/flag-certificates/54750952.json
-55002551	3	3	3	records/p3/flag-certificates/55002551.json
-55099043	3	3	27	records/p3/flag-certificates/55099043.json
-55247159	3	3	3	records/p3/flag-certificates/55247159.json
-55458643	3	3	3	records/p3/flag-certificates/55458643.json
-55459844	3	3	3	records/p3/flag-certificates/55459844.json
-55990111	3	3	3	records/p3/flag-certificates/55990111.json
-56012791	3	3	3	records/p3/flag-certificates/56012791.json
-56023159	3	3	3	records/p3/flag-certificates/56023159.json
-56062840	3	3	3	records/p3/flag-certificates/56062840.json
-56179268	3	3	3	records/p3/flag-certificates/56179268.json
-56227223	3	3	3	records/p3/flag-certificates/56227223.json
-56877643	3	3	3	records/p3/flag-certificates/56877643.json
-56892947	3	3	3	records/p3/flag-certificates/56892947.json
-56910443	3	3	3	records/p3/flag-certificates/56910443.json
-57236692	3	3	3	records/p3/flag-certificates/57236692.json
-57280391	3	3	3	records/p3/flag-certificates/57280391.json
-57525107	3	3	3	records/p3/flag-certificates/57525107.json
-57537671	3	3	3	records/p3/flag-certificates/57537671.json
-57554915	3	3	3	records/p3/flag-certificates/57554915.json
-57886599	3	3	3	records/p3/flag-certificates/57886599.json
-58055055	3	3	3	records/p3/flag-certificates/58055055.json
-58106407	3	3	3	records/p3/flag-certificates/58106407.json
-58264280	3	3	3	records/p3/flag-certificates/58264280.json
-58436551	3	3	3	records/p3/flag-certificates/58436551.json
-58503176	3	3	3	records/p3/flag-certificates/58503176.json
-58616979	3	3	3	records/p3/flag-certificates/58616979.json
-58670031	3	3	3	records/p3/flag-certificates/58670031.json
-58830347	3	3	2187	records/p3/flag-certificates/58830347.json
-58917044	3	3	3	records/p3/flag-certificates/58917044.json
-58924687	3	3	3	records/p3/flag-certificates/58924687.json
-58983812	3	3	9	records/p3/flag-certificates/58983812.json
-59240407	3	3	3	records/p3/flag-certificates/59240407.json
-59283247	3	3	3	records/p3/flag-certificates/59283247.json
-59283847	3	3	3	records/p3/flag-certificates/59283847.json
-59289547	3	3	3	records/p3/flag-certificates/59289547.json
-59457832	3	3	3	records/p3/flag-certificates/59457832.json
-59728531	3	3	3	records/p3/flag-certificates/59728531.json
-60157219	3	3	3	records/p3/flag-certificates/60157219.json
