discriminant	field	max_head_degree	head_words
-52494539	3	6	10
-52517111	3	8	12
-52532008	3	8	13
-52722084	3	6	10
-52743011	3	10	15
-53090887	3	8	17
-53246276	9	8	12
-53395079	3	8	12
-53450299	3	9	12
-53472280	3	8	10
-53893759	3	8	12
-53997976	9	5	6
-54060483	3	7	9
-54258447	3	8	13
-54433787	3	7	12
-54530671	3	8	13
-54750952	3	10	19
-55002551	3	8	13
-55099043	27	8	12
-55247159	3	7	9
-55458643	3	8	12
-55459844	3	8	12
-55990111	3	6	10
-56012791	3	8	12
-56023159	3	6	10
-56062840	3	6	10
-56179268	3	6	9
-56227223	3	6	10
-56877643	3	8	10
-56892947	3	8	12
-56910443	3	8	10
-57236692	3	11	22
-57280391	3	8	13
-57525107	3	8	13
-57537671	3	8	12
-57554915	3	8	12
-57886599	3	6	8
-58055055	3	8	14
-58106407	3	7	12
-58264280	3	8	10
-58436551	3	5	5
-58503176	3	6	10
-58616979	3	8	11
-58670031	3	8	13
-58830347	2187	8	12
-58917044	3	8	10
-58924687	3	7	11
-58983812	9	8	12
-59240407	3	8	13
-59283247	3	7	12
-59283847	3	8	12
-59289547	3	6	9
-59457832	3	8	13
-59728531	3	8	12
-60157219	3	8	12
-60252979	3	6	9
-60416488	9	8	12
-60638315	3	6	10
-60661208	3	6	10
-60732499	3	6	9
-60912499	3	8	12
-60936143	3	8	10
-61043151	3	8	13
-61050644	3	8	12
-61052171	3	5	9
-61063943	3	8	15
-61090772	9	8	12
-61113332	3	8	17
-61263451	3	8	10
-61522964	9	6	10
-61559087	3	6	10
-61764971	9	8	10
-61954504	3	6	10
-62092203	3	6	10
-62299023	3	11	17
-62919784	3	7	11
-63069839	3	7	12
-63165371	3	8	13
-63199139	3	9	13
-63263807	9	6	10
-63572952	3	8	12
-63643603	3	7	11
-63849412	3	6	10
-63946915	3	8	13
-63953087	27	8	12
-64018859	3	7	9
-64046083	3	6	10
-64080884	3	8	11
-64345151	3	6	10
-64677252	3	6	10
-64733531	3	11	12
-64842308	3	8	10
-64894027	3	8	13
-65118839	81	8	12
-65257604	3	8	10
-65417747	3	7	11
-65547115	3	8	10
-65561387	3	8	14
-65739755	3	6	10
-65809779	3	8	13
-66047467	9	6	10
-66126811	3	8	13
-66319367	3	6	10
-66483203	9	7	12
-66847063	3	6	10
-66873559	3	7	11
-66977099	3	6	10
-67223287	3	7	9
-67231491	3	8	12
-67244147	3	8	11
-67322296	3	8	12
-67493503	3	6	9
-67604871	3	7	11
-67657143	81	8	12
-67726936	9	10	16
-67912984	3	8	11
-68193140	3	8	12
-68259176	3	7	11
-68261656	243	8	12
-68516555	3	7	12
-68642059	3	8	10
-68655147	3	8	12
-68903007	3	7	11
-69544011	3	6	10
-69645755	3	6	10
-69676520	3	6	10
-69709283	3	7	12
-69768715	3	5	6
-69933299	3	6	10
-70061912	3	8	12
-70177623	3	8	13
-70502371	3	7	10
-70853099	3	7	11
-71153643	3	8	12
-71227880	3	7	11
-71253620	9	7	12
-71525815	3	8	13
-71527667	3	8	10
-71545411	9	7	12
-71603795	3	7	12
-71655143	27	8	12
-71659867	3	8	10
-71662359	3	6	10
-71911464	3	6	9
-72128884	3	6	10
-72222184	9	6	10
-72673979	3	8	9
-72691603	3	8	13
-72839983	3	7	10
-72903379	3	6	10
-72972579	3	8	12
-73046319	3	7	11
-73086555	3	4	4
-73097403	3	8	12
-73123807	81	8	12
-73509431	3	9	15
-73539679	3	8	12
-73816115	3	8	10
-73831256	3	7	9
-73892607	3	6	10
-74251236	3	7	11
-74343019	3	7	12
-74428948	3	8	12
-74446471	9	7	12
-74672023	3	6	10
-74775687	3	9	15
-74926067	3	8	13
-74944691	3	6	10
-74977087	3	8	11
-74988295	3	8	12
-75069563	3	6	11
-75170616	3	8	10
-75199172	243	8	12
-75199703	3	7	9
-75474676	3	9	15
-75700947	3	6	10
-75950259	3	7	11
-76062191	3	8	10
-76295551	3	6	10
-76327547	3	8	11
-76563391	3	8	12
-76644136	3	9	13
-76719119	3	7	10
-76781539	3	8	12
-76819303	3	6	9
-76933327	9	7	12
-77016484	3	8	10
-77436244	3	7	12
-77533044	3	8	13
-77947879	243	8	12
-78051887	3	8	13
-78113599	243	8	12
-78123956	3	6	10
-78159544	3	8	12
-78417563	3	8	13
-78766563	3	8	15
-78789999	3	11	15
-79042567	3	8	13
-79076147	9	7	12
-79239059	3	6	10
-79239963	3	8	12
-79378899	3	7	11
-79713039	3	6	10
-79777147	3	6	9
-79821928	3	8	13
-79843343	81	8	12
-79889939	3	8	12
-79954936	3	6	10
-80055743	3	7	11
-80067263	3	8	10
-80179323	3	5	9
-80228087	3	6	10
-80340595	3	8	12
-81002507	9	7	12
-81055347	3	8	12
-81080107	3	8	10
-81173699	243	8	12
-81430807	3	8	12
-81491291	3	7	7
-81952699	9	7	11
-82147415	3	8	13
-82346307	3	7	11
-82361155	3	8	12
-82593159	3	6	11
-82735860	3	8	10
-82911943	3	6	10
-82960979	3	6	10
-83076495	3	7	12
-83164003	3	8	13
-83181284	3	7	12
-83260039	3	7	10
-83281243	3	8	11
-83512523	3	7	11
-83555403	3	6	10
-83593716	3	7	12
-83655843	3	8	10
-83667140	3	6	10
-83678267	3	8	10
-83739364	3	11	17
-83876747	3	8	12
-83977007	3	7	12
-83987583	3	6	10
-84000335	3	8	15
-84091667	3	6	10
-84404939	3	8	13
-84503683	3	8	10
-84537355	3	7	11
-84604483	3	8	12
-84730747	9	8	10
-84962455	3	8	15
-85241139	81	8	12
-85273015	27	8	12
-85349659	3	8	10
-85436308	3	6	9
-85503343	3	6	10
-85829711	3	7	12
-85846072	3	11	13
-85893823	81	8	12
-85922243	3	7	12
-85944759	9	9	13
-85965519	3	8	12
-86099672	3	6	9
-86148239	3	6	10
-86530739	3	8	10
-87068820	3	8	13
-87076607	9	7	12
-87116531	3	8	10
-87227535	3	8	12
-87289583	3	6	10
-87374676	81	8	12
-87438824	3	8	12
-87556859	3	9	17
-87590243	3	8	12
-87621595	3	8	13
-87759928	9	6	10
-87771844	3	6	10
-87970040	3	8	13
-88163771	3	7	11
-88359035	3	8	10
-88396079	3	6	10
-88474207	3	8	12
-88503319	3	7	12
-88605903	3	7	10
-88957723	3	7	12
-89101399	3	9	12
-89209544	3	7	10
-89234452	3	6	9
-89258335	3	10	17
-89284916	3	8	12
-89466479	3	8	13
-89471204	3	8	12
-89479108	3	8	11
-89575699	3	8	12
-89625131	3	10	16
-90055207	3	7	12
-90129243	3	8	12
-90151727	9	8	12
-90233124	3	8	10
-90379720	3	7	11
-90399059	3	6	10
-90428676	6561	8	12
-90531160	3	6	10
-90751007	243	8	12
-90827851	3	7	10
-90847527	3	6	10
-91120904	3	8	10
-91153780	9	8	12
-91171831	3	8	13
-91246847	3	5	6
-91420051	81	8	12
-91765579	3	6	10
-91789131	3	8	12
-92011559	9	8	12
-92519956	3	6	10
-92547507	3	8	14
-92613251	3	7	12
-92630292	27	6	10
-92788051	3	7	11
-92965111	3	8	12
-93345044	3	6	10
-93463883	3	8	13
-93494131	27	8	12
-93572052	3	6	9
-93672231	3	8	14
-93695199	3	8	10
-93785768	3	7	12
-93828263	3	8	11
-94226740	3	8	12
-94314472	3	5	6
-94359479	3	8	10
-94489012	9	9	15
-94600216	3	7	11
-94652299	3	10	16
-94709544	27	7	12
-94771304	3	5	5
-94779688	3	8	13
-94932955	3	7	12
